Nickname,Fullname,RelatedNickname,RelatedFullname,RelationPercentage,Column1,Column7,Column8
UTP6,YDR449C,PPZ2,YDR436W,0.627,,,
UTP6,YDR449C,YGR223C,YGR223C,0.645,,,
UTP6,YDR449C,YJL069C,YJL069C,0.983,,,
UTP6,YDR449C,DIP2,YLR129W,0.841,,,
UTP6,YDR449C,CST29,YLR222C,0.983,,,
UTP6,YDR449C,YLR409C,YLR409C,0.976,,,
TSA2,YDR453C,TSA1,YML028W,0.77,,,
TOM1,YDR457W,MYO4,YAL029C,0.974,,,
TOM1,YDR457W,MLC1,YGL106W,0.576,,,
TOM1,YDR457W,ZUO1,YGR285C,0.982,,,
TOM1,YDR457W,SSZ1,YHR064C,0.535,,,
TOM1,YDR457W,RPL40A,YIL148W,0.865,,,
TOM1,YDR457W,SPA2,YLL021W,0.969,,,
TOM1,YDR457W,YEF3,YLR249W,0.987,,,
TOM1,YDR457W,HSC82,YMR186W,0.987,,,
TOM1,YDR457W,MYO2,YOR326W,0.513,,,
TFB3,YDR460W,RAD3,YER171W,0.921,,,
TFB3,YDR460W,SSL1,YLR005W,0.51,,,
TFB3,YDR460W,TFB4,YPR056W,0.989,,,
MRPL28,YDR462W,YRA1,YDR381W,0.841,,,
MRPL28,YDR462W,MAM33,YIL070C,0.738,,,
MRPL28,YDR462W,MRP7,YNL005C,0.817,,,
MRPL28,YDR462W,MRPL17,YNL252C,0.975,,,
MRPL28,YDR462W,MRPL10,YNL284C,0.392,,,
STP1,YDR463W,HTA2,YBL003C,0.737,,,
STP1,YDR463W,HHT1,YBR010W,0.406,,,
STP1,YDR463W,RPB1,YDL140C,0.295,,,
STP1,YDR463W,TOM1,YDR457W,0.295,,,
SDC1,YDR469W,SHG1,YBR258C,0.645,,,
SDC1,YDR469W,SET1,YHR119W,0.972,,,
SDC1,YDR469W,BRE2,YLR015W,0.976,,,
SDC1,YDR469W,SPP1,YPL138C,0.983,,,
YDR474C,YDR474C,YRA1,YDR381W,0.404,,,
YDR474C,YDR474C,YDR475C,YDR475C,0.392,,,
SNF1,YDR477W,GAL83,YER027C,0.989,,,
SNF1,YDR477W,SNF4,YGL115W,0.989,,,
SNF1,YDR477W,SIP2,YGL208W,0.837,,,
SNM1,YDR478W,POP4,YBR257W,0.979,,,
SNM1,YDR478W,POP1,YNL221C,0.935,,,
DIG2,YDR480W,YGL245W,YGL245W,0.298,,,
DIG2,YDR480W,HSC82,YMR186W,0.739,,,
CWC21,YDR482C,CUS1,YMR240C,0.397,,,
YDR485C,YDR485C,SWR1,YDR334W,0.45,,,
YDR485C,YDR485C,YLR385C,YLR385C,0.943,,,
YDR485C,YDR485C,RVB2,YPL235W,0.989,,,
PAC11,YDR488C,DYN2,YDR424C,0.48,,,
PKH1,YDR490C,REB1,YBR049C,0.367,,,
PKH1,YDR490C,BMH2,YDR099W,0.406,,,
PKH1,YDR490C,PIL1,YGR086C,0.921,,,
PKH1,YDR490C,YPL004C,YPL004C,0.983,,,
PKH1,YDR490C,YPL005W,YPL005W,0.38,,,
PUF6,YDR496C,NOP1,YDL014W,0.985,,,
PUF6,YDR496C,SBP1,YHL034C,0.316,,,
PUF6,YDR496C,STM1,YLR150W,0.749,,,
PUF6,YDR496C,YPR169W,YPR169W,0.989,,,
LCD1,YDR499W,YCL063W,YCL063W,0.364,,,
LCD1,YDR499W,YJR096W,YJR096W,0.387,,,
LCD1,YDR499W,RFA2,YNL312W,0.314,,,
PLM2,YDR501W,YKR078W,YKR078W,0.341,,,
SAM2,YDR502C,SAM1,YLR180W,0.989,,,
GIN4,YDR507C,NOP1,YDL014W,0.588,,,
GIN4,YDR507C,CDC12,YHR107C,0.702,,,
GIN4,YDR507C,NAP1,YKR048C,0.99,,,
GIN4,YDR507C,CBF5,YLR175W,0.3,,,
GIN4,YDR507C,YNL246W,YNL246W,0.3,,,
SMT3,YDR510W,HSC82,YMR186W,0.639,,,
SLF1,YDR515W,YRA1,YDR381W,0.628,,,
SLF1,YDR515W,CDC33,YOL139C,0.774,,,
GRH1,YDR517W,YDL099W,YDL099W,0.879,,,
GRH1,YDR517W,SEC24,YIL109C,0.307,,,
GRH1,YDR517W,SEC23,YPR181C,0.988,,,
FPR2,YDR519W,PUF4,YGL014W,0.286,,,
FPR2,YDR519W,MPD2,YOL088C,0.298,,,
SPS1,YDR523C,TFC3,YAL001C,0.344,,,
SPS1,YDR523C,RVS167,YDR388W,0.344,,,
SPS1,YDR523C,PYC1,YGL062W,0.451,,,
SPS1,YDR523C,SPO75,YLL005C,0.364,,,
SPS1,YDR523C,HFI1,YPL254W,0.341,,,
YDR533C,YDR533C,CDC3,YLR314C,0.36,,,
YDR533C,YDR533C,HSP34,YMR322C,0.884,,,
YEL001C,YEL001C,YGR126W,YGR126W,0.332,,,
YEL001C,YEL001C,CRN1,YLR429W,0.755,,,
GIM4,YEL003W,PAC10,YGR078C,0.989,,,
GIM4,YEL003W,PFD1,YJL179W,0.876,,,
GIM4,YEL003W,YKE2,YLR200W,0.944,,,
GIM4,YEL003W,GIM5,YML094W,0.989,,,
GIM4,YEL003W,GIM3,YNL153C,0.989,,,
VAB2,YEL005C,YDR357C,YDR357C,0.896,,,
VAB2,YEL005C,YGL079W,YGL079W,0.767,,,
VAB2,YEL005C,YLR408C,YLR408C,0.683,,,
VAB2,YEL005C,YNL086W,YNL086W,0.702,,,
UBC8,YEL012W,HTA2,YBL003C,0.585,,,
UBC8,YEL012W,VIP1,YLR410W,0.508,,,
YEL015W,YEL015W,DCP2,YNL118C,0.987,,,
YEL016C,YEL016C,HMT1,YBR034C,0.743,,,
EAF5,YEL018W,HTA2,YBL003C,0.663,,,
EAF5,YEL018W,VID21,YDR359C,0.989,,,
EAF5,YEL018W,EPL1,YFL024C,0.968,,,
EAF5,YEL018W,YGR002C,YGR002C,0.834,,,
EAF5,YEL018W,YNG2,YHR090C,0.933,,,
EAF5,YEL018W,TRA1,YHR099W,0.36,,,
EAF5,YEL018W,ARP4,YJL081C,0.96,,,
EAF5,YEL018W,YAF9,YNL107W,0.973,,,
EAF5,YEL018W,YNL136W,YNL136W,0.99,,,
EAF5,YEL018W,ESA1,YOR244W,0.396,,,
EAF5,YEL018W,EAF3,YPR023C,0.989,,,
YEL023C,YEL023C,BUD3,YCL014W,0.308,,,
YEL023C,YEL023C,TFP1,YDL185W,0.308,,,
YEL023C,YEL023C,GUK1,YDR454C,0.344,,,
YEL023C,YEL023C,HXK1,YFR053C,0.413,,,
YEL023C,YEL023C,TDH1,YJL052W,0.316,,,
YEL023C,YEL023C,TDH2,YJR009C,0.643,,,
YEL023C,YEL023C,URA1,YKL216W,0.394,,,
YEL023C,YEL023C,YLR262CA,YLR262CA,0.341,,,
RAD23,YEL037C,SSA3,YBL075C,0.663,,,
RAD23,YEL037C,CMD1,YBR109C,0.77,,,
RAD23,YEL037C,ARC40,YBR234C,0.744,,,
RAD23,YEL037C,RVS161,YCR009C,0.703,,,
RAD23,YEL037C,RPT2,YDL007W,0.989,,,
RAD23,YEL037C,ARP2,YDL029W,0.683,,,
RAD23,YEL037C,UFD2,YDL190C,0.882,,,
RAD23,YEL037C,PDC2,YDR081C,0.303,,,
RAD23,YEL037C,SAC6,YDR129C,0.663,,,
RAD23,YEL037C,SEM1,YDR363W-A,0.705,,,
RAD23,YEL037C,RVS167,YDR388W,0.989,,,
RAD23,YEL037C,RPT3,YDR394W,0.985,,,
RAD23,YEL037C,RPN9,YDR427W,0.989,,,
RAD23,YEL037C,RAD51,YER095W,0.584,,,
RAD23,YEL037C,RAD4,YER162C,0.989,,,
RAD23,YEL037C,RPN11,YFR004W,0.394,,,
RAD23,YEL037C,MLC1,YGL106W,0.559,,,
RAD23,YEL037C,RPN1,YHR027C,0.988,,,
RAD23,YEL037C,RPN10,YHR200W,0.353,,,
RAD23,YEL037C,RPN2,YIL075C,0.988,,,
RAD23,YEL037C,RPL40A,YIL148W,0.781,,,
RAD23,YEL037C,ARP3,YJR065C,0.769,,,
RAD23,YEL037C,RPT1,YKL145W,0.989,,,
RAD23,YEL037C,COF1,YLL050C,0.372,,,
RAD23,YEL037C,CRN1,YLR429W,0.702,,,
RAD23,YEL037C,YML011C,YML011C,0.968,,,
RAD23,YEL037C,SSK2,YNR031C,0.75,,,
RAD23,YEL037C,RPT5,YOR117W,0.529,,,
RAD23,YEL037C,RPT4,YOR259C,0.989,,,
RAD23,YEL037C,PNG1,YPL096W,0.99,,,
UTR2,YEL040W,GLO2,YDR272W,0.29,,,
IES6,YEL044W,RVB1,YDR190C,0.769,,,
IES6,YEL044W,IES5,YER092W,0.295,,,
IES6,YEL044W,INO80,YGL150C,0.769,,,
IES6,YEL044W,ARP4,YJL081C,0.295,,,
IES6,YEL044W,IES3,YLR052W,0.406,,,
IES6,YEL044W,ARP5,YNL059C,0.769,,,
IES6,YEL044W,ARP8,YOR141C,0.295,,,
IES6,YEL044W,RVB2,YPL235W,0.845,,,
POL5,YEL055C,RRS1,YOR294W,0.463,,,
HAT2,YEL056W,ATP3,YBR039W,0.298,,,
HAT2,YEL056W,ORC6,YHR118C,0.58,,,
HAT2,YEL056W,HIF1,YLL022C,0.983,,,
HAT2,YEL056W,ORC1,YML065W,0.504,,,
HAT2,YEL056W,SEC65,YML105C,0.298,,,
HAT2,YEL056W,RPS10B,YMR230W,0.527,,,
HAT2,YEL056W,HAT1,YPL001W,0.983,,,
NUG1,YER006W,SBA1,YKL117W,0.274,,,
YER007CA,YER007C-A,YJR014W,YJR014W,0.989,,,
PRE1,YER012W,PRE7,YBL041W,0.934,,,
PRE1,YER012W,YDL203C,YDL203C,0.507,,,
PRE1,YER012W,CIN8,YEL061C,0.319,,,
PRE1,YER012W,PUP3,YER094C,0.95,,,
PRE1,YER012W,PRE4,YFR050C,0.976,,,
PRE1,YER012W,SCL1,YGL011C,0.974,,,
PRE1,YER012W,TOS8,YGL096W,0.825,,,
PRE1,YER012W,PRE9,YGR135W,0.974,,,
PRE1,YER012W,PUP2,YGR253C,0.974,,,
PRE1,YER012W,PRE3,YJL001W,0.95,,,
PRE1,YER012W,HPR5,YJL092W,0.299,,,
PRE1,YER012W,YJL132W,YJL132W,0.527,,,
PRE1,YER012W,YLR290C,YLR290C,0.319,,,
PRE1,YER012W,PRE8,YML092C,0.983,,,
PRE1,YER012W,PRE5,YMR314W,0.95,,,
PRE1,YER012W,PRE6,YOL038W,0.983,,,
PRE1,YER012W,PUP1,YOR157C,0.983,,,
PRE1,YER012W,PRE10,YOR362C,0.974,,,
PRE1,YER012W,PRE2,YPR103W,0.955,,,
BIM1,YER016W,RRS1,YOR294W,0.527,,,
SPC25,YER018C,YDL073W,YDL073W,0.451,,,
SPC25,YER018C,SPC24,YMR117C,0.774,,,
SRB4,YER022W,MED2,YDL005C,0.883,,,
SRB4,YER022W,SRB7,YDR308C,0.843,,,
SRB4,YER022W,PGD1,YGL025C,0.939,,,
SRB4,YER022W,SOH1,YGL127C,0.919,,,
SRB4,YER022W,NUT1,YGL151W,0.988,,,
SRB4,YER022W,SRB5,YGR104C,0.968,,,
SRB4,YER022W,SRB2,YHR041C,0.939,,,
SRB4,YER022W,MED6,YHR058C,0.884,,,
SRB4,YER022W,RGR1,YLR071C,0.97,,,
SRB4,YER022W,SEC65,YML105C,0.36,,,
SRB4,YER022W,MED11,YMR112C,0.877,,,
SRB4,YER022W,SIN4,YNL236W,0.989,,,
SRB4,YER022W,CSE2,YNR010W,0.957,,,
SRB4,YER022W,GAL11,YOL051W,0.968,,,
SRB4,YER022W,MED7,YOL135C,0.968,,,
SRB4,YER022W,MED4,YOR174W,0.939,,,
SRB4,YER022W,SSN3,YPL042C,0.36,,,
SRB4,YER022W,SRP72,YPL210C,0.36,,,
SRB4,YER022W,MED1,YPR070W,0.944,,,
SRB4,YER022W,NUT2,YPR168W,0.939,,,
PRO3,YER023W,MAM33,YIL070C,0.989,,,
PRO3,YER023W,NAP1,YKR048C,0.986,,,
GCD11,YER025W,GCD2,YGR083C,0.989,,,
GCD11,YER025W,SUI2,YJR007W,0.99,,,
GCD11,YER025W,GCD7,YLR291C,0.929,,,
GCD11,YER025W,NIP1,YMR309C,0.989,,,
GCD11,YER025W,GCD1,YOR260W,0.939,,,
GCD11,YER025W,TIF5,YPR041W,0.898,,,
GAL83,YER027C,REG1,YDR028C,0.845,,,
GAL83,YER027C,BMH2,YDR099W,0.294,,,
GAL83,YER027C,PAK1,YER129W,0.846,,,
GAL83,YER027C,RAD4,YER162C,0.294,,,
GAL83,YER027C,SNF4,YGL115W,0.841,,,
SMB1,YER029C,SPP381,YBR152W,0.451,,,
SMB1,YER029C,SMD1,YGR074W,0.312,,,
SMB1,YER029C,PRP40,YKL012W,0.975,,,
SMB1,YER029C,SMD3,YLR147C,0.643,,,
SMB1,YER029C,CUS1,YMR240C,0.876,,,
SMB1,YER029C,SME1,YOR159C,0.975,,,
SMB1,YER029C,SNU66,YOR308C,0.975,,,
SMB1,YER029C,LEA1,YPL213W,0.413,,,
SMB1,YER029C,PRP4,YPR178W,0.341,,,
SMB1,YER029C,SMX3,YPR182W,0.983,,,
YER030W,YER030W,PRT1,YOR361C,0.98,,,
EDC2,YER035W,MAK5,YBR142W,0.499,,,
EDC2,YER035W,NOP14,YDL148C,0.984,,,
EDC2,YER035W,YRA1,YDR381W,0.604,,,
EDC2,YER035W,YEL015W,YEL015W,0.975,,,
EDC2,YER035W,STM1,YLR150W,0.597,,,
EDC2,YER035W,KRI1,YNL308C,0.639,,,
SAP1,YER047C,APC11,YDL008W,0.332,,,
YER048WA,YER048W-A,NFS1,YCL017C,0.934,,,
YER048WA,YER048W-A,ACP1,YKL192C,0.947,,,
YER049W,YER049W,RVS167,YDR388W,0.988,,,
YER049W,YER049W,YEF3,YLR249W,0.602,,,
YER049W,YER049W,CRN1,YLR429W,0.663,,,
YER049W,YER049W,RLM1,YPL089C,0.524,,,
RSM18,YER050C,MRPS9,YBR146W,0.841,,,
RSM18,YER050C,MRPS5,YBR251W,0.737,,,
RSM18,YER050C,RSM10,YDR041W,0.841,,,
RSM18,YER050C,RSM24,YDR175C,0.841,,,
RSM18,YER050C,CPR5,YDR304C,0.404,,,
RSM18,YER050C,MRPS28,YDR337W,0.406,,,
RSM18,YER050C,MRP1,YDR347W,0.845,,,
RSM18,YER050C,YRA1,YDR381W,0.645,,,
RSM18,YER050C,RSM28,YDR494W,0.841,,,
RSM18,YER050C,RSM23,YGL129C,0.841,,,
RSM18,YER050C,MRP13,YGR084C,0.738,,,
RSM18,YER050C,YGR165W,YGR165W,0.769,,,
RSM18,YER050C,RSM27,YGR215W,0.841,,,
RSM18,YER050C,MRP4,YHL004W,0.845,,,
RSM18,YER050C,YHR121W,YHR121W,0.298,,,
RSM18,YER050C,IMD2,YHR216W,0.404,,,
RSM18,YER050C,MAM33,YIL070C,0.824,,,
RSM18,YER050C,RSM25,YIL093C,0.915,,,
RSM18,YER050C,GEA1,YJR031C,0.404,,,
RSM18,YER050C,RSM26,YJR101W,0.817,,,
RSM18,YER050C,RSM7,YJR113C,0.77,,,
RSM18,YER050C,VID31,YKL054C,0.404,,,
RSM18,YER050C,RSM22,YKL155C,0.406,,,
RSM18,YER050C,IMD3,YLR432W,0.406,,,
RSM18,YER050C,YMR158W,YMR158W,0.404,,,
RSM18,YER050C,HAS1,YMR290C,0.404,,,
RSM18,YER050C,YNL081C,YNL081C,0.404,,,
RSM18,YER050C,NAM9,YNL137C,0.975,,,
RSM18,YER050C,CKA2,YOR061W,0.29,,,
RSM18,YER050C,PET123,YOR158W,0.77,,,
RSM18,YER050C,YPL013C,YPL013C,0.817,,,
RSM18,YER050C,MRP51,YPL118W,0.841,,,
YER067W,YER067W,YGR228W,YGR228W,0.392,,,
"ARG5,6",YER069W,YHR121W,YHR121W,0.37,,,
RNR1,YER070W,HSP26,YBR072W,0.487,,,
RNR1,YER070W,RNR3,YIL066C,0.906,,,
RNR1,YER070W,RNR2,YJL026W,0.988,,,
YER071C,YER071C,TIF35,YDR429C,0.295,,,
YER071C,YER071C,YIL152W,YIL152W,0.404,,,
YER071C,YER071C,YIR003W,YIR003W,0.976,,,
YER071C,YER071C,SSB2,YNL209W,0.295,,,
YER078C,YER078C,ADK1,YDR226W,0.767,,,
SER3,YER081W,SER33,YIL074C,0.989,,,
ILV1,YER086W,TDH1,YJL052W,0.974,,,
ILV1,YER086W,TDH2,YJR009C,0.882,,,
ILV1,YER086W,HSP60,YLR259C,0.988,,,
ILV1,YER086W,ILV5,YLR355C,0.549,,,
ILV1,YER086W,HSC82,YMR186W,0.988,,,
ILV1,YER086W,CDC31,YOR257W,0.977,,,
DOT6,YER088C,YNL091W,YNL091W,0.298,,,
TRP2,YER090W,TRP3,YKL211C,0.968,,,
MET6,YER091C,KAP95,YLR347C,0.333,,,
IES5,YER092W,HTA2,YBL003C,0.584,,,
IES5,YER092W,RVB1,YDR190C,0.989,,,
IES5,YER092W,IES1,YFL013C,0.989,,,
IES5,YER092W,INO80,YGL150C,0.697,,,
IES5,YER092W,ARP4,YJL081C,0.989,,,
IES5,YER092W,IES3,YLR052W,0.99,,,
IES5,YER092W,ARP8,YOR141C,0.989,,,
IES5,YER092W,IES4,YOR189W,0.495,,,
IES5,YER092W,RVB2,YPL235W,0.989,,,
RAD51,YER095W,HMO1,YDR174W,0.584,,,
RAD51,YER095W,MED6,YHR058C,0.36,,,
UBP9,YER098W,CMD1,YBR109C,0.464,,,
UBP9,YER098W,YOL087C,YOL087C,0.856,,,
KAP123,YER110C,NUP60,YAR002W,0.295,,,
KAP123,YER110C,YMR031C,YMR031C,0.29,,,
SWI4,YER111C,SWI6,YLR182W,0.983,,,
SWI4,YER111C,CDC60,YPL160W,0.425,,,
LSM4,YER112W,LSM6,YDR378C,0.336,,,
LSM4,YER112W,PRP3,YDR473C,0.748,,,
LSM4,YER112W,KEM1,YGL173C,0.942,,,
LSM4,YER112W,PRP31,YGR091W,0.743,,,
LSM4,YER112W,LSM1,YJL124C,0.552,,,
LSM4,YER112W,LSM3,YLR438C-A,0.298,,,
LSM4,YER112W,LSM7,YNL147W,0.668,,,
SLX8,YER116C,HTA2,YBL003C,0.295,,,
SLX8,YER116C,HHF1,YBR009C,0.769,,,
SLX8,YER116C,RVS161,YCR009C,0.294,,,
SLX8,YER116C,HMO1,YDR174W,0.406,,,
SLX8,YER116C,RVS167,YDR388W,0.295,,,
SLX8,YER116C,STM1,YLR150W,0.404,,,
SLX8,YER116C,ABF2,YMR072W,0.405,,,
SLX8,YER116C,TOP2,YNL088W,0.737,,,
SLX8,YER116C,ASE1,YOR058C,0.298,,,
PAK1,YER129W,RVS167,YDR388W,0.295,,,
PAK1,YER129W,SIP1,YDR422C,0.295,,,
PAK1,YER129W,SNF1,YDR477W,0.406,,,
PAK1,YER129W,SNF4,YGL115W,0.404,,,
RPS26B,YER131W,NOP1,YDL014W,0.98,,,
RPS26B,YER131W,MAM33,YIL070C,0.989,,,
RPS26B,YER131W,RPA49,YNL248C,0.286,,,
GLC7,YER133W,BUD14,YAR014C,0.957,,,
GLC7,YER133W,SOL2,YCRX13W,0.745,,,
GLC7,YER133W,REG1,YDR028C,0.961,,,
GLC7,YER133W,BMH2,YDR099W,0.299,,,
GLC7,YER133W,YDR474C,YDR474C,0.781,,,
GLC7,YER133W,PTI1,YGR156W,0.939,,,
GLC7,YER133W,YHR121W,YHR121W,0.37,,,
GLC7,YER133W,CKA1,YIL035C,0.394,,,
GLC7,YER133W,MAM33,YIL070C,0.78,,,
GLC7,YER133W,SDS22,YKL193C,0.99,,,
GLC7,YER133W,PUF3,YLL013C,0.441,,,
GLC7,YER133W,ADE16,YLR028C,0.989,,,
GLC7,YER133W,GLC8,YMR311C,0.988,,,
GLC7,YER133W,BNI4,YNL233W,0.944,,,
GLC7,YER133W,YOR227W,YOR227W,0.781,,,
GLC7,YER133W,YPL137C,YPL137C,0.957,,,
YER139C,YER139C,BIK1,YCL029C,0.286,,,
LSM5,YER146W,LSM6,YDR378C,0.893,,,
LSM5,YER146W,KEM1,YGL173C,0.989,,,
LSM5,YER146W,PRP8,YHR165C,0.491,,,
LSM5,YER146W,LSM1,YJL124C,0.989,,,
LSM5,YER146W,SMD2,YLR275W,0.395,,,
SCC4,YER147C,IMD1,YAR073W,0.586,,,
SCC4,YER147C,HTA2,YBL003C,0.602,,,
SCC4,YER147C,HHT1,YBR010W,0.497,,,
SCC4,YER147C,NOP1,YDL014W,0.586,,,
SCC4,YER147C,RRP1,YDR087C,0.586,,,
SCC4,YER147C,SCC2,YDR180W,0.989,,,
SCC4,YER147C,YGR090W,YGR090W,0.602,,,
SCC4,YER147C,YHR121W,YHR121W,0.852,,,
SCC4,YER147C,SMC3,YJL074C,0.602,,,
SCC4,YER147C,IMD3,YLR432W,0.559,,,
SCC4,YER147C,RRP5,YMR229C,0.821,,,
SPT15,YER148W,PEX19,YDL065C,0.392,,,
SPT15,YER148W,TAF68,YDR145W,0.29,,,
SPT15,YER148W,BRF1,YGR246C,0.425,,,
SPT15,YER148W,YHR036W,YHR036W,0.392,,,
SPT15,YER148W,YJL123C,YJL123C,0.29,,,
SPT15,YER148W,NAP1,YKR048C,0.29,,,
SPT15,YER148W,YEF3,YLR249W,0.29,,,
SPT15,YER148W,MPT1,YMR005W,0.406,,,
SPT15,YER148W,HSC82,YMR186W,0.738,,,
SPT15,YER148W,TAF67,YMR227C,0.425,,,
SPT15,YER148W,SRV2,YNL138W,0.29,,,
SPT15,YER148W,TAF47,YPL011C,0.425,,,
SPT15,YER148W,TAF30,YPL129W,0.385,,,
PEA2,YER149C,SPA2,YLL021W,0.974,,,
UBP3,YER151C,SEM1,YDR363W-A,0.786,,,
UBP3,YER151C,MLC1,YGL106W,0.401,,,
UBP3,YER151C,STM1,YLR150W,0.872,,,
UBP3,YER151C,DDR48,YMR173W,0.559,,,
UBP3,YER151C,BRE5,YNR051C,0.99,,,
UBP3,YER151C,YOL109W,YOL109W,0.584,,,
BEM2,YER155C,BUD14,YAR014C,0.485,,,
BEM2,YER155C,REG1,YDR028C,0.353,,,
BEM2,YER155C,SPA2,YLL021W,0.811,,,
BEM2,YER155C,PRT1,YOR361C,0.3,,,
SPT2,YER161C,HIF1,YLL022C,0.755,,,
SPT2,YER161C,SRP1,YNL189W,0.578,,,
RAD4,YER162C,NOP1,YDL014W,0.834,,,
RAD4,YER162C,SIK1,YLR197W,0.549,,,
RAD4,YER162C,NOP58,YOR310C,0.406,,,
CHD1,YER164W,NOP1,YDL014W,0.988,,,
CHD1,YER164W,CKB1,YGL019W,0.988,,,
CHD1,YER164W,SPT16,YGL207W,0.968,,,
CHD1,YER164W,CKA1,YIL035C,0.99,,,
CHD1,YER164W,RPF2,YKR081C,0.664,,,
CHD1,YER164W,CBF5,YLR175W,0.585,,,
CHD1,YER164W,RRP5,YMR229C,0.614,,,
CHD1,YER164W,HRB1,YNL004W,0.399,,,
CHD1,YER164W,CKB2,YOR039W,0.99,,,
CHD1,YER164W,CKA2,YOR061W,0.99,,,
RAD3,YER171W,HOR2,YER062C,0.645,,,
RAD3,YER171W,NCP1,YHR042W,0.737,,,
RAD3,YER171W,TFB4,YPR056W,0.425,,,
BRR2,YER172C,PRP6,YBR055C,0.99,,,
BRR2,YER172C,PRP3,YDR473C,0.947,,,
BRR2,YER172C,PRP8,YHR165C,0.968,,,
BRR2,YER172C,LSM8,YJR022W,0.302,,,
BRR2,YER172C,SNU114,YKL173W,0.928,,,
BRR2,YER172C,SMD3,YLR147C,0.583,,,
BRR2,YER172C,SMD2,YLR275W,0.939,,,
BRR2,YER172C,SNU66,YOR308C,0.857,,,
BRR2,YER172C,PRP4,YPR178W,0.6,,,
GRX4,YER174C,YRA1,YDR381W,0.48,,,
BMH1,YER177W,AKL1,YBR059C,0.404,,,
BMH1,YER177W,REG1,YDR028C,0.963,,,
BMH1,YER177W,BIM1,YER016W,0.77,,,
BMH1,YER177W,GTS1,YGL181W,0.404,,,
BMH1,YER177W,ASK10,YGR097W,0.946,,,
BMH1,YER177W,YHR121W,YHR121W,0.286,,,
BMH1,YER177W,YIR003W,YIR003W,0.387,,,
BMH1,YER177W,HAP1,YLR256W,0.404,,,
BMH1,YER177W,YMR086W,YMR086W,0.737,,,
BMH1,YER177W,YNR047W,YNR047W,0.95,,,
BMH1,YER177W,YOR220W,YOR220W,0.404,,,
DMC1,YER179W,MRE11,YMR224C,0.821,,,
SPB4,YFL002C,YBL071C,YBL071C,0.392,,,
SPB4,YFL002C,FCY21,YER060W,0.392,,,
SPB4,YFL002C,YMR097C,YMR097C,0.392,,,
SPB4,YFL002C,GDS1,YOR355W,0.392,,,
YFL006W,YFL006W,BLM3,YFL007W,0.988,,,
BLM3,YFL007W,YDL053C,YDL053C,0.29,,,
BLM3,YFL007W,ZUO1,YGR285C,0.645,,,
BLM3,YFL007W,SSZ1,YHR064C,0.406,,,
BLM3,YFL007W,HSP104,YLL026W,0.295,,,
BLM3,YFL007W,HSC82,YMR186W,0.286,,,
SMC1,YFL008W,SMC3,YJL074C,0.989,,,
IES1,YFL013C,HTA2,YBL003C,0.38,,,
IES1,YFL013C,SRO77,YBL106C,0.294,,,
IES1,YFL013C,RVB1,YDR190C,0.989,,,
IES1,YFL013C,HYP2,YEL034W,0.663,,,
IES1,YFL013C,INO80,YGL150C,0.858,,,
IES1,YFL013C,ZUO1,YGR285C,0.988,,,
IES1,YFL013C,SSZ1,YHR064C,0.989,,,
IES1,YFL013C,ARP4,YJL081C,0.99,,,
IES1,YFL013C,TEF4,YKL081W,0.482,,,
IES1,YFL013C,IES3,YLR052W,0.99,,,
IES1,YFL013C,YEF3,YLR249W,0.639,,,
IES1,YFL013C,IES2,YNL215W,0.356,,,
IES1,YFL013C,ARP8,YOR141C,0.957,,,
IES1,YFL013C,IES4,YOR189W,0.495,,,
IES1,YFL013C,CAM1,YPL048W,0.978,,,
IES1,YFL013C,RVB2,YPL235W,0.937,,,
HSP12,YFL014W,CMD1,YBR109C,0.666,,,
HSP12,YFL014W,RFA2,YNL312W,0.664,,,
MDJ1,YFL016C,SCC4,YER147C,0.29,,,
SMX2,YFL018W-A,MUD1,YBR119W,0.716,,,
SMX2,YFL018W-A,PRP3,YDR473C,0.352,,,
SMX2,YFL018W-A,SMB1,YER029C,0.788,,,
SMX2,YFL018W-A,LSM5,YER146W,0.661,,,
SMX2,YFL018W-A,BRR2,YER172C,0.639,,,
SMX2,YFL018W-A,SNU71,YGR013W,0.844,,,
SMX2,YFL018W-A,SMD1,YGR074W,0.944,,,
SMX2,YFL018W-A,PRP8,YHR165C,0.639,,,
SMX2,YFL018W-A,SNP1,YIL061C,0.697,,,
SMX2,YFL018W-A,PRP40,YKL012W,0.715,,,
SMX2,YFL018W-A,SNU114,YKL173W,0.989,,,
SMX2,YFL018W-A,PPR1,YLR014C,0.48,,,
SMX2,YFL018W-A,SMD3,YLR147C,0.825,,,
SMX2,YFL018W-A,SMD2,YLR275W,0.788,,,
SMX2,YFL018W-A,SME1,YOR159C,0.71,,,
FYV11,YFL023W,YKE2,YLR200W,0.563,,,
EPL1,YFL024C,HTA2,YBL003C,0.754,,,
EPL1,YFL024C,HMO1,YDR174W,0.663,,,
EPL1,YFL024C,VID21,YDR359C,0.884,,,
EPL1,YFL024C,RSC8,YFR037C,0.899,,,
EPL1,YFL024C,YGR002C,YGR002C,0.99,,,
EPL1,YFL024C,YNG2,YHR090C,0.968,,,
EPL1,YFL024C,ARP4,YJL081C,0.344,,,
EPL1,YFL024C,EAF6,YJR082C,0.968,,,
EPL1,YFL024C,YAF9,YNL107W,0.989,,,
EPL1,YFL024C,YNL136W,YNL136W,0.968,,,
YFL044C,YFL044C,CDC48,YDL126C,0.988,,,
